Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GI","Burning - Biomass","101","Indonesia","722911","Implied emission factor for N2O (Burning biomass)","6797","Other forest","2012","2012","g N20/kg dry matter","0.2312","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722911","Implied emission factor for N2O (Burning biomass)","6797","Other forest","2013","2013","g N20/kg dry matter","0.2323","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722911","Implied emission factor for N2O (Burning biomass)","6797","Other forest","2014","2014","g N20/kg dry matter","0.2253","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722911","Implied emission factor for N2O (Burning biomass)","6797","Other forest","2015","2015","g N20/kg dry matter","0.2272","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722911","Implied emission factor for N2O (Burning biomass)","6797","Other forest","2016","2016","g N20/kg dry matter","0.201","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722911","Implied emission factor for N2O (Burning biomass)","6797","Other forest","2017","2017","g N20/kg dry matter","0.201","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722411","Implied emission factor for CH4 (Burning biomass)","6797","Other forest","2012","2012","g CH4/kg dry matter","5.6988","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722411","Implied emission factor for CH4 (Burning biomass)","6797","Other forest","2013","2013","g CH4/kg dry matter","6.3209","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722411","Implied emission factor for CH4 (Burning biomass)","6797","Other forest","2014","2014","g CH4/kg dry matter","6.3347","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722411","Implied emission factor for CH4 (Burning biomass)","6797","Other forest","2015","2015","g CH4/kg dry matter","6.1481","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722411","Implied emission factor for CH4 (Burning biomass)","6797","Other forest","2016","2016","g CH4/kg dry matter","6.758","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722411","Implied emission factor for CH4 (Burning biomass)","6797","Other forest","2017","2017","g CH4/kg dry matter","6.758","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723011","Emissions (N2O) (Burning biomass)","6797","Other forest","2012","2012","gigagrams","0.1799","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723011","Emissions (N2O) (Burning biomass)","6797","Other forest","2013","2013","gigagrams","0.0394","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723011","Emissions (N2O) (Burning biomass)","6797","Other forest","2014","2014","gigagrams","0.1955","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723011","Emissions (N2O) (Burning biomass)","6797","Other forest","2015","2015","gigagrams","0.7367","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723011","Emissions (N2O) (Burning biomass)","6797","Other forest","2016","2016","gigagrams","0.0221","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723011","Emissions (N2O) (Burning biomass)","6797","Other forest","2017","2017","gigagrams","0.0221","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722511","Emissions (CH4) (Burning biomass)","6797","Other forest","2012","2012","gigagrams","4.4355","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722511","Emissions (CH4) (Burning biomass)","6797","Other forest","2013","2013","gigagrams","1.071","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722511","Emissions (CH4) (Burning biomass)","6797","Other forest","2014","2014","gigagrams","5.4966","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722511","Emissions (CH4) (Burning biomass)","6797","Other forest","2015","2015","gigagrams","19.9336","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722511","Emissions (CH4) (Burning biomass)","6797","Other forest","2016","2016","gigagrams","0.7445","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722511","Emissions (CH4) (Burning biomass)","6797","Other forest","2017","2017","gigagrams","0.7445","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724311","Emissions (CO2eq) from N2O (Burning biomass)","6797","Other forest","2012","2012","gigagrams","55.7829","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724311","Emissions (CO2eq) from N2O (Burning biomass)","6797","Other forest","2013","2013","gigagrams","12.2028","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724311","Emissions (CO2eq) from N2O (Burning biomass)","6797","Other forest","2014","2014","gigagrams","60.592","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724311","Emissions (CO2eq) from N2O (Burning biomass)","6797","Other forest","2015","2015","gigagrams","228.3643","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724311","Emissions (CO2eq) from N2O (Burning biomass)","6797","Other forest","2016","2016","gigagrams","6.8628","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724311","Emissions (CO2eq) from N2O (Burning biomass)","6797","Other forest","2017","2017","gigagrams","6.8628","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724411","Emissions (CO2eq) from CH4 (Burning biomass)","6797","Other forest","2012","2012","gigagrams","93.1453","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724411","Emissions (CO2eq) from CH4 (Burning biomass)","6797","Other forest","2013","2013","gigagrams","22.4901","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724411","Emissions (CO2eq) from CH4 (Burning biomass)","6797","Other forest","2014","2014","gigagrams","115.4278","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724411","Emissions (CO2eq) from CH4 (Burning biomass)","6797","Other forest","2015","2015","gigagrams","418.6064","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724411","Emissions (CO2eq) from CH4 (Burning biomass)","6797","Other forest","2016","2016","gigagrams","15.6344","Fc","Calculated data"
