Year,Month,Day,PSI_24_hourly
2012,10,5,36
2012,10,6,33
2012,10,7,40
2012,10,8,40
2012,10,9,44
2012,10,10,49
2012,10,11,47
2012,10,12,47
2012,10,13,31
2012,10,14,40
2012,10,15,39
2012,10,16,45
2012,10,17,35
2012,10,18,34
2012,10,19,25
2012,10,20,26
2012,10,21,25
2012,10,22,22
2012,10,23,28
2012,10,24,38
2012,10,25,36
2012,10,26,28
2012,10,27,25
2012,10,28,29
2012,10,29,27
2012,10,30,21
2012,10,31,20
2012,11,1,20
2012,11,2,29
2012,11,3,29
2012,11,4,19
2012,11,5,19
2012,11,6,23
2012,11,7,22
2012,11,8,24
2012,11,9,24
2012,11,10,24
2012,11,11,25
2012,11,12,27
2012,11,13,21
2012,11,14,22
2012,11,15,29
2012,11,16,37
2012,11,17,31
2012,11,18,28
2012,11,19,29
2012,11,20,30
2012,11,21,33
2012,11,22,25
2012,11,23,33
2012,11,24,17
2012,11,25,22
2012,11,26,27
2012,11,27,34
2012,11,28,32
2012,11,29,30
2012,11,30,30
2012,12,1,33
2012,12,2,31
2012,12,3,19
2012,12,4,21
2012,12,5,23
2012,12,6,25
2012,12,7,22
2012,12,8,22
2012,12,9,26
2012,12,10,24
2012,12,11,26
2012,12,12,28
2012,12,13,22
2012,12,14,18
2012,12,15,19
2012,12,16,23
2012,12,17,21
2012,12,18,23
2012,12,19,21
2012,12,20,21
2012,12,21,24
2012,12,22,27
2012,12,23,25
2012,12,24,17
2012,12,25,15
2012,12,26,20
2012,12,27,23
2012,12,28,23
2012,12,29,19
2012,12,30,24
2012,12,31,24
2013,1,1,20
2013,1,2,17
2013,1,3,21
2013,1,4,17
2013,1,5,20
2013,1,6,27
2013,1,7,31
2013,1,8,32
2013,1,9,25
2013,1,10,25
2013,1,11,21
2013,1,12,30
2013,1,13,27
2013,1,14,25
2013,1,15,33
2013,1,16,35
2013,1,17,36
2013,1,18,28
2013,1,19,16
2013,1,20,20
2013,1,21,15
2013,1,22,14
2013,1,23,22
2013,1,24,22
2013,1,25,22
2013,1,26,23
2013,1,27,26
2013,1,28,24
2013,1,29,27
2013,1,30,31
2013,1,31,28
2013,2,1,26
2013,2,2,26
2013,2,3,20
2013,2,4,19
2013,2,5,15
2013,2,6,20
2013,2,7,23
2013,2,8,24
2013,2,9,19
2013,2,10,22
2013,2,11,13
2013,2,12,18
2013,2,13,16
2013,2,14,24
2013,2,15,15
2013,2,16,17
2013,2,17,16
2013,2,18,23
2013,2,19,20
2013,2,20,22
2013,2,21,20
2013,2,22,25
2013,2,23,26
2013,2,24,20
2013,2,25,15
2013,2,26,16
2013,2,27,17
2013,2,28,22
2013,3,1,24
2013,3,2,20
2013,3,3,17
2013,3,4,20
2013,3,5,28
2013,3,6,31
2013,3,7,27
2013,3,8,21
2013,3,9,27
2013,3,10,27
2013,3,11,27
2013,3,12,30
2013,3,13,28
2013,3,14,29
2013,3,15,24
2013,3,16,20
2013,3,17,18
2013,3,18,21
2013,3,19,23
2013,3,20,24
2013,3,21,26
2013,3,22,20
2013,3,23,25
2013,3,24,21
2013,3,25,28
